# .test .cputime .temperature .time_mat1 .time_mat2
1 0.000786 -0.487 0.000014 0.000001
2 0.001442 -0.487 0.000002 0.000001
3 0.002651 -0.487 0.000017 0.000002
4 0.003447 -0.487 0.000003 0.000002
5 0.004302 -0.487 0.000017 0.000003
6 0.005101 -0.487 0.000014 0.000003
7 0.005783  0.000 0.000016 0.000004
8 0.007741  0.000 0.000041 0.000004
9 0.008251  0.000 0.000016 0.000005
10 0.008388  0.000 0.000016 0.000005
11 0.009157  0.000 0.000020 0.000006
12 0.010267 -0.487 0.000020 0.000007
13 0.010682 -0.487 0.000023 0.000008
14 0.011014  0.000 0.000020 0.000009
15 0.011839  0.000 0.000023 0.000010
16 0.012832  0.000 0.000023 0.000011
17 0.013812  0.000 0.000024 0.000012
18 0.014360  0.487 0.000026 0.000014
19 0.015111  0.974 0.000027 0.000015
20 0.015764  0.000 0.000028 0.000017
21 0.016609  0.000 0.000029 0.000018
22 0.017011  0.000 0.000033 0.000019
23 0.017993  0.000 0.000032 0.000021
24 0.018659  0.000 0.000035 0.000024
25 0.019320  0.974 0.000035 0.000026
26 0.019893  0.000 0.000038 0.000028
27 0.020914  0.487 0.000039 0.000030
28 0.021458 -0.487 0.000043 0.000033
29 0.022291 -0.487 0.000043 0.000034
30 0.022826  0.000 0.000048 0.000037
31 0.023707  0.487 0.000036 0.000040
32 0.024426  0.974 0.000055 0.000042
33 0.025280  0.487 0.000036 0.000044
34 0.025828  0.000 0.000054 0.000047
35 0.026943  0.974 0.000040 0.000050
36 0.027516  0.974 0.000061 0.000053
37 0.028422  0.000 0.000045 0.000055
38 0.029681  0.487 0.000064 0.000060
39 0.029711  0.487 0.000050 0.000063
40 0.030695  0.974 0.000070 0.000066
41 0.031124  0.974 0.000055 0.000111
42 0.031882  0.487 0.000078 0.000072
43 0.036221  0.974 0.000064 0.000078
44 0.039887  0.487 0.000081 0.000079
45 0.036674  0.000 0.000065 0.000084
46 0.035007  0.974 0.000084 0.000086
47 0.035970  0.487 0.000071 0.000089
48 0.036501  1.461 0.000091 0.000093
49 0.037249  0.487 0.000076 0.000098
50 0.038209  0.974 0.000098 0.000101
51 0.038509  0.000 0.000082 0.000106
52 0.039760 -0.487 0.000104 0.000109
53 0.040349  0.487 0.000089 0.000113
54 0.041483  0.974 0.000112 0.000117
55 0.042152  0.974 0.000096 0.000122
56 0.042746  0.487 0.000119 0.000125
57 0.043555  0.487 0.000103 0.000134
58 0.044273  0.487 0.000125 0.000135
59 0.044836  0.974 0.000123 0.000139
60 0.045444  1.461 0.000131 0.000142
61 0.047695  0.974 0.000142 0.000147
62 0.047548  1.948 0.000142 0.000150
63 0.052134  0.974 0.000137 0.000157
64 0.058545  1.461 0.000143 0.000160
65 0.053459  0.974 0.000147 0.000165
66 0.054970  1.948 0.000174 0.000169
67 0.054854  1.461 0.000151 0.000174
68 0.053254  2.435 0.000185 0.000178
69 0.053107  0.487 0.000175 0.000183
70 0.053412  1.461 0.000192 0.000189
71 0.054328  1.461 0.000183 0.000194
72 0.055721  0.974 0.000184 0.000199
73 0.056029  0.974 0.000215 0.000209
74 0.056597  1.461 0.000206 0.000209
75 0.057578  1.948 0.000220 0.000214
76 0.057921  0.487 0.000221 0.000221
77 0.058905  0.974 0.000215 0.000226
78 0.059662  0.974 0.000209 0.000233
79 0.060884  1.461 0.000301 0.000238
80 0.061521  0.974 0.000247 0.000243
81 0.062400  1.948 0.000229 0.000250
82 0.062780  1.461 0.000219 0.000256
83 0.063788  1.948 0.000261 0.000263
84 0.064759  0.487 0.000243 0.000270
85 0.065909  0.974 0.000270 0.000275
86 0.065241  2.435 0.000244 0.000290
87 0.066637  1.948 0.000277 0.000290
88 0.067441  0.487 0.000261 0.000296
89 0.068320  1.948 0.000299 0.000303
90 0.068658  1.461 0.000263 0.000310
91 0.069237  1.948 0.000311 0.000318
92 0.069793  2.435 0.000281 0.000324
93 0.070900  1.461 0.000314 0.000332
94 0.071967  1.948 0.000301 0.000348
95 0.074395  1.461 0.000303 0.000347
96 0.073562  1.461 0.000296 0.000353
97 0.073810  2.922 0.000321 0.000361
98 0.075518  0.974 0.000325 0.000379
99 0.074783  2.435 0.000346 0.000437
100 0.075905  1.948 0.000334 0.000395
101 0.077042  1.461 0.000366 0.000392
102 0.077859  0.974 0.000329 0.000412
103 0.078562  1.461 0.000362 0.000407
104 0.079545  1.948 0.000337 0.000416
105 0.079335  2.435 0.000382 0.000484
106 0.080845  1.948 0.000350 0.000430
107 0.082098  2.435 0.000406 0.000438
108 0.083401  1.461 0.000382 0.000447
109 0.089866  2.435 0.000390 0.000457
110 0.089867  2.435 0.000394 0.000539
111 0.085153  1.948 0.000402 0.000472
112 0.086344  2.435 0.000407 0.000480
113 0.086120  2.435 0.000432 0.000488
114 0.088226  2.435 0.000417 0.000509
115 0.089080  2.435 0.000431 0.000506
116 0.089406  2.435 0.000432 0.000553
117 0.090989  3.409 0.000441 0.000522
118 0.092219  1.461 0.000447 0.000532
119 0.092551  1.461 0.000457 0.000555
120 0.091328  1.948 0.000459 0.000548
121 0.100432  2.922 0.000465 0.000591
122 0.095498  1.461 0.000482 0.000565
123 0.094237  2.922 0.000529 0.000576
124 0.096259  2.922 0.000493 0.000603
125 0.096216  1.948 0.000495 0.000634
126 0.098134  2.922 0.000507 0.000644
127 0.098229  1.461 0.000508 0.000614
128 0.099003  3.409 0.000522 0.000663
129 0.100538  2.922 0.000527 0.000633
130 0.115631  2.435 0.000556 0.000809
131 0.106139  2.435 0.000579 0.000653
132 0.105831  3.409 0.000552 0.000729
133 0.102221  2.435 0.000555 0.000704
134 0.103628  2.922 0.000572 0.000748
135 0.103879  1.948 0.000556 0.000697
136 0.104567  2.922 0.000589 0.000707
137 0.106098  2.922 0.000571 0.000737
138 0.109468  3.409 0.000760 0.000794
139 0.106677  2.435 0.000589 0.000739
140 0.108822  2.922 0.000624 0.000813
141 0.111191  2.435 0.000606 0.000761
142 0.110927  2.922 0.000642 0.000772
143 0.111580  1.948 0.000622 0.000784
144 0.111488  2.435 0.000752 0.000795
145 0.112831  3.409 0.000640 0.000805
146 0.113869  3.409 0.000677 0.000815
147 0.116940  2.922 0.000658 0.000852
148 0.116936  2.922 0.000696 0.000838
149 0.115401  3.409 0.000676 0.000877
150 0.117577  2.435 0.000712 0.000863
151 0.117541  2.435 0.000694 0.000873
152 0.117633  2.922 0.000729 0.000886
153 0.119614  2.435 0.000713 0.000954
154 0.119743  3.409 0.000745 0.000909
155 0.121129  3.409 0.000771 0.000924
156 0.121933  2.922 0.000769 0.001041
157 0.138083  2.922 0.000750 0.000945
158 0.122536  3.409 0.000786 0.000959
159 0.124196  2.922 0.000826 0.000998
160 0.123778  2.922 0.000800 0.000982
161 0.125901  3.409 0.000805 0.001044
162 0.126250  3.896 0.000820 0.001057
163 0.129279  2.435 0.000829 0.001103
164 0.127076  3.409 0.000841 0.001032
165 0.133541  2.435 0.000849 0.001044
166 0.130300  2.435 0.000859 0.001057
167 0.129939  2.435 0.000867 0.001099
168 0.131282  2.922 0.000945 0.001085
169 0.131479  3.896 0.000957 0.001094
170 0.133145  2.922 0.000902 0.001108
171 0.134853  3.409 0.000910 0.001210
172 0.135163  1.948 0.000920 0.001167
