# .test .cputime .temperature .time_mat1 .time_mat2
1 0.000803  0.000 0.000015 0.000002
2 0.001375  0.000 0.000002 0.000001
3 0.002785  0.000 0.000017 0.000002
4 0.003449  0.000 0.000003 0.000002
5 0.004384  0.000 0.000015 0.000003
6 0.005170  0.000 0.000014 0.000003
7 0.005934  0.000 0.000021 0.000003
8 0.006870  0.000 0.000015 0.000004
9 0.007795  0.000 0.000018 0.000004
10 0.008698  0.487 0.000016 0.000005
11 0.009478  0.487 0.000020 0.000006
12 0.010211  0.000 0.000019 0.000006
13 0.010983  0.000 0.000024 0.000008
14 0.011506  1.461 0.000069 0.000009
15 0.012178  1.461 0.000023 0.000010
16 0.012945  0.000 0.000022 0.000011
17 0.013751  0.487 0.000024 0.000012
18 0.014776  0.487 0.000027 0.000013
19 0.015302  0.000 0.000030 0.000015
20 0.016080  0.000 0.000030 0.000017
21 0.016480  0.000 0.000029 0.000018
22 0.017548  0.487 0.000032 0.000021
23 0.018191  1.461 0.000032 0.000023
24 0.019105  0.000 0.000035 0.000024
25 0.019849  0.487 0.000036 0.000027
26 0.020574  0.000 0.000038 0.000029
27 0.021345  0.974 0.000040 0.000031
28 0.022360  0.000 0.000044 0.000033
29 0.022656  0.974 0.000043 0.000035
30 0.023424  0.974 0.000047 0.000037
31 0.024756  0.487 0.000035 0.000040
32 0.025195 -0.487 0.000055 0.000041
33 0.025848  0.487 0.000037 0.000045
34 0.027318  0.487 0.000056 0.000048
35 0.027725  0.487 0.000041 0.000050
36 0.028853  0.487 0.000061 0.000053
37 0.028939  0.487 0.000045 0.000057
38 0.029399  0.487 0.000064 0.000058
39 0.030746  0.974 0.000050 0.000062
40 0.034329  0.487 0.000071 0.000065
41 0.037256  0.974 0.000057 0.000070
42 0.037185  0.487 0.000070 0.000074
43 0.033691  0.974 0.000060 0.000075
44 0.034289  0.487 0.000080 0.000080
45 0.034789  0.974 0.000065 0.000122
46 0.035493  0.974 0.000087 0.000085
47 0.036556  0.487 0.000071 0.000093
48 0.037145  0.974 0.000090 0.000094
49 0.038050  0.974 0.000077 0.000098
50 0.038494  0.974 0.000097 0.000101
51 0.039401  0.487 0.000086 0.000105
52 0.040934  0.974 0.000106 0.000112
53 0.042169  0.974 0.000089 0.000117
54 0.041896  1.461 0.000111 0.000117
55 0.045212  0.000 0.000096 0.000123
56 0.044088  0.974 0.000179 0.000126
57 0.044510  1.948 0.000104 0.000132
58 0.045078  1.948 0.000125 0.000135
59 0.046066  0.487 0.000124 0.000141
60 0.046520  1.461 0.000133 0.000143
61 0.047798  0.974 0.000134 0.000147
62 0.047981  1.948 0.000140 0.000151
63 0.049336  1.948 0.000139 0.000161
64 0.049846  0.974 0.000147 0.000159
65 0.051245  2.922 0.000149 0.000169
66 0.057309  0.974 0.000155 0.000168
67 0.056263  1.461 0.000161 0.000174
68 0.062671  1.461 0.000164 0.000183
69 0.054918  0.974 0.000174 0.000188
70 0.054500  2.435 0.000177 0.000188
71 0.055061  1.948 0.000181 0.000198
72 0.056070  1.461 0.000181 0.000199
73 0.057022  1.461 0.000192 0.000203
74 0.057545  1.461 0.000202 0.000209
75 0.058617  1.948 0.000199 0.000214
76 0.059368  2.435 0.000208 0.000221
77 0.060478  2.922 0.000223 0.000227
78 0.060702  1.948 0.000214 0.000282
79 0.061445  2.435 0.000222 0.000245
80 0.062948  1.948 0.000243 0.000250
81 0.063135  2.922 0.000229 0.000250
82 0.063837  1.948 0.000230 0.000255
83 0.064682  1.461 0.000269 0.000261
84 0.064937  1.461 0.000232 0.000275
85 0.071232  2.435 0.000246 0.000276
86 0.066493  2.435 0.000250 0.000289
87 0.067819  1.461 0.000272 0.000289
88 0.068531  2.922 0.000257 0.000295
89 0.068970  2.435 0.000351 0.000302
90 0.069785  2.435 0.000262 0.000309
91 0.071668  2.435 0.000337 0.000315
92 0.071139  2.922 0.000266 0.000332
93 0.073328  1.948 0.000301 0.000330
94 0.073296  2.435 0.000272 0.000379
95 0.074073  1.948 0.000342 0.000347
96 0.074327  2.922 0.000293 0.000353
97 0.075675  2.435 0.000330 0.000372
98 0.075727  1.948 0.000300 0.000370
99 0.077359  2.435 0.000337 0.000375
100 0.077458  2.435 0.000347 0.000383
101 0.080123  1.461 0.000350 0.000389
102 0.078767  3.409 0.000323 0.000397
103 0.079732  1.948 0.000348 0.000408
104 0.082296  2.435 0.000332 0.000424
105 0.081617  2.435 0.000364 0.000457
106 0.082115  2.435 0.000346 0.000428
107 0.083211  1.461 0.000375 0.000434
108 0.084723  3.409 0.000357 0.000442
109 0.084839  1.948 0.000386 0.000450
110 0.085908  1.948 0.000391 0.000458
111 0.087026  1.461 0.000403 0.000467
112 0.088136  1.948 0.000401 0.000489
113 0.087871  2.435 0.000455 0.000483
114 0.088874  3.896 0.000415 0.000491
115 0.089821  1.948 0.000426 0.000497
116 0.089882  3.409 0.000471 0.000505
117 0.091376  2.435 0.000440 0.000529
